Spanish,English
Lunes,Monday
Martes,Tuesday
Sabado,Saturday
Jueves,Thursday
Miércoles ,Wednesday
Viernes ,Friday
Domingo,Sunday
grande,great
así,So
pasar,spend
cosa,stuff
desde,since
deber,have to
pues,well
entonces,then
llegar,get
poco,little bit
nuestro,our
ni,neither
tiempo,weather
ahora,now
creer,believe
vida,life
dejar,let
tanto,so much
parecer,look
hablar,speak
poner,put
eh,Hey
nuevo,new
sólo,single
siempre,forever
seguir,continue
quedar,stay
llevar,wear
encontrar,find
pensar,to think
casa,House
país,country
esto,this
volver,return
usted,you
salir,leave
mejor,better
menos,less
venir,to come
llamar,to call
mundo,world
mientras,while
conocer,know
aquel,that
aquí,here
aunque,though
quien,who
tomar,drink
tres,three
mano,hand
sentir,feel
gente,people
durante,during
hijo,son
vivir,to live
sino,otherwise
lugar,place
problema,issue
hacia,towards
presidente,President
luego,later
caso,case
mayor,elderly
además,what's more
acercar,zoom in
esperar,expect
hora,hour
padre,dad
noche,night
nosotros,us
